企業名,勤務地,給与,初年度年収
株式会社クレディセゾン ,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜 ※経験・スキルに応じて決定いたします。",600万円～1000万円
三井不動産レジデンシャル株式会社 ,本社および全国の支店・営業所、 その他国内外の事務所にて募集。 本社 (東京・日本橋) 支店 (札…,"月給245,000円以上 ※新卒(大卒)入社時基本給 ※年齢・ご経験等を考慮し決定いたします",初年度年収のデータなし
日東金属工業株式会社 ,【八潮工場／マイカー通勤OK！】 埼玉県八潮市二丁目358 ＜電車でのアクセス＞ 1.東武スカイツ…,月給22万円〜45万円＋賞与年2回（2019年実績：6.5ヶ月） ※経験・年齢・能力を考慮のうえ、決定致します…,400万円～700万円
とら婚株式会社 ,【秋葉原オフィス】 〒101-0021 東京都千代田区外神田4-7-3 秋葉原虎ビル8階・9階,年俸制800万円〜 ※経験、スキルなどを考慮した上、決定します。,700万円～1020万円
株式会社日本レジストリサービス ,東京（神保町）と大阪（北新地）の同時募集です。 ★ゆくゆくは「大阪に戻りたい」という方大歓迎です！…,"月給26万1,750円〜35万5,125円 ※前職、経験、能力を最大限考慮し、支給額を決定致します。 ※試用期間は…",450万円～700万円
popIn株式会社 ,大阪府大阪市北区曽根崎新地1丁目13番地22 WeWork ◎転勤なし・UIターン歓迎！,月給35万円〜 ★想定年収500万円〜 ※待遇・条件については、年齢、経験、能力を考慮の上、 　社内規定…,初年度年収のデータなし
DiDiフードジャパン株式会社 ,【テレワーク実施中です】【転勤なし】 東京オフィス ／東京都中央区（Daiwa晴海WeWork 2…,月給18万円〜50万円 ※当社給与規程に準じて能力や適性、経験を考慮し決定します。 《入社1年目モデル…,400万円～700万円
NTTデータカスタマサービス株式会社 ,★全国各拠点 ★希望を考慮して決定！ ◇本社 ◎東京都江東区枝川1-9-4　住友不動産豊洲TKビル…,月給20万円〜45万円 【月収例】 月収32万円＝月給24.5万円+時間外手当4.2万円+住宅補助費3.3万円 ※経験…,430万円～650万円
UDS株式会社 ,◎転勤なし ◎原宿本社または、INBOUND LEAGUE（新宿） ★INBOUND LEAGUE…,年俸制350万円〜500万円 ※経験・能力を考慮の上、当社規定により優遇します。 ※上記には固定残業代と…,350万円～500万円
株式会社優誠 ,【なんばからアクセス良好！最寄り駅から徒歩3分の好立地】 ★2019年7月にオフィスを移転・拡大し…,"月給22万5,000円以上＋皆勤手当5,000円＋その他手当＋賞与 ※年齢・経験・スキルを十分考慮の上、当社規…",初年度年収のデータなし
アクセンチュア株式会社 ,【首都圏、関西を中心としたプロジェクト先】 ★リモート勤務あり プロジェクトによっても異なりますが…,初年度年俸420万円以上＋各種手当(残業手当など)＋業績賞与年1回 ※上記は入社初年度の最低保証年俸。年…,初年度年収のデータなし
株式会社ココロザシ ,《転居を伴う転勤なし》 ◆東京都内にあるプロジェクト先での勤務です ※感染症対策のため、リモートワ…,◆月給：30万円〜75万円 ※固定残業代（月20時間分／3万円〜）を含む。超過分は別途支給いたします。 《 …,400万円～1000万円
DiDiフードジャパン株式会社 ,★東京、大阪、福岡、広島、神戸、京都、名古屋、沖縄いずれかのエリアでの勤務となります。 【テレワー…,月給18万円〜50万円＋インセンティブ 《インセンティブについて》 毎月上長と加盟店獲得件数などの目標…,400万円～700万円
クリエイトソリューションズ株式会社 ,◆本社／埼玉県さいたま市大宮区高鼻町1-108-1 サクラファーストビル2Ｆ ◆東京23区のプロジ…,月給20万5004円以上 ※経験・保有技術を考慮の上、当社規定により優遇します 　また、「LPIC」有資格者は…,250万円～600万円
株式会社エフ・クルーズ ,本社 東京都千代田区一番町17-2 ラビ一番町4F [最寄り駅] 半蔵門駅 徒歩約3分 ※案件によ…,月給25万円〜55万円＋賞与（業績による） 【27歳・ITエンジニアの例】 前職時代：年収350万円 入社1年目…,350万円～700万円
ロシュリングエンジニアリングプラスティックス株式会社 ,★転勤なし★【新横浜より徒歩2分】 神奈川県横浜市港北区新横浜3-19-5 横浜第二センタービル8F,年俸制／300万円〜600万円 ※経験・スキルを考慮の上、当社規定により決定します ※別途出張手当あり ※…,300万円～600万円
